ext_id,name,kcal,protein,carb,fat,fiber
780030403,CARNE DE GALINHA - GRELHADO(A)/BRASA/CHURRASCO,239.0,27.3,0,13.6,0
780030404,CARNE DE GALINHA - ASSADO(A),239.0,27.3,0,13.6,0
780030405,CARNE DE GALINHA - FRITO(A),261.66,27.3,0,16.16,0
780030406,CARNE DE GALINHA - EMPANADO(A)/A MILANESA,277.84,27.76,3.39,16.21,0.14
780030407,CARNE DE GALINHA - REFOGADO(A),239.0,27.3,0,13.6,0
780030408,CARNE DE GALINHA - MOLHO VERMELHO,261.66,27.3,0,16.16,0
780030409,CARNE DE GALINHA - MOLHO BRANCO,226.78,22.6,1.85,13.71,0.04
780030413,CARNE DE GALINHA - ENSOPADO,261.66,27.3,0,16.16,0
780030415,CARNE DE GALINHA - SOPA,31.47,1.61,3.64,1.06,0.13
780030499,CARNE DE GALINHA,239.0,27.3,0,13.6,0
780040101,PEITO DE GALINHA OU FRANGO - CRU(A),173.0,30.91,0,4.51,0
780040102,PEITO DE GALINHA OU FRANGO - COZIDO(A),173.0,30.91,0,4.51,0
780040103,PEITO DE GALINHA OU FRANGO - GRELHADO(A)/BRASA/CHURRASCO,173.0,30.91,0,4.51,0
780040104,PEITO DE GALINHA OU FRANGO - ASSADO(A),173.0,30.91,0,4.51,0
780040105,PEITO DE GALINHA OU FRANGO - FRITO(A),195.66,30.91,0,7.07,0
780040106,PEITO DE GALINHA OU FRANGO - EMPANADO(A)/A MILANESA,211.84,31.37,3.39,7.12,0.14
780040107,PEITO DE GALINHA OU FRANGO - REFOGADO(A),195.66,30.91,0,7.07,0
780040108,PEITO DE GALINHA OU FRANGO - MOLHO VERMELHO,143.2,24.99,1.08,3.64,0.3
780040109,PEITO DE GALINHA OU FRANGO - MOLHO BRANCO,170.99,25.51,1.85,6.1,0.04
780040113,PEITO DE GALINHA OU FRANGO - ENSOPADO,195.66,30.91,0,7.07,0
780040115,PEITO DE GALINHA OU FRANGO - SOPA,31.47,1.61,3.64,1.06,0.13
780040199,PEITO DE GALINHA OU FRANGO,173.0,30.91,0,4.51,0
780040201,FILE DE FRANGO - CRU(A),173.0,30.91,0,4.51,0
780040202,FILE DE FRANGO - COZIDO(A),173.0,30.91,0,4.51,0
780040203,FILE DE FRANGO - GRELHADO(A)/BRASA/CHURRASCO,173.0,30.91,0,4.51,0
780040204,FILE DE FRANGO - ASSADO(A),173.0,30.91,0,4.51,0
780040205,FILE DE FRANGO - FRITO(A),195.66,30.91,0,7.07,0
780040206,FILE DE FRANGO - EMPANADO(A)/A MILANESA,211.84,31.37,3.39,7.12,0.14
780040207,FILE DE FRANGO - REFOGADO(A),195.66,30.91,0,7.07,0
780040208,FILE DE FRANGO - MOLHO VERMELHO,143.2,24.99,1.08,3.64,0.3
780040209,FILE DE FRANGO - MOLHO BRANCO,170.99,25.51,1.85,6.1,0.04
780040210,FILE DE FRANGO - AO ALHO E OLEO,195.66,30.91,0,7.07,0
780040213,FILE DE FRANGO - ENSOPADO,195.66,30.91,0,7.07,0
780040299,FILE DE FRANGO,173.0,30.91,0,4.51,0
780060202,CARCACA DE GALINHA OU FRANGO - COZIDO(A),173.0,30.91,0,4.51,0
780060204,CARCACA DE GALINHA OU FRANGO - ASSADO(A),173.0,30.91,0,4.51,0
